drntanguay	#AMIA2014 I'd like to change the Tutorials I signed up for. Anyone know how to do it?	Sun Nov 9 4:54:27 PST 2014   
blancahimes	4. H. Marin (for Lucila Ohno-Machado), UCSD working on Brazil-USA-Mozambique program #AMIA2014	Mon Nov 17 8:22:11 PST 2014   
puhfu	.@pattifbrennan asking @dpugrad01 if #HIE can help with time/date stamping of data - yes, can use to compare CCD or HL7 messages #AMIA2014	Mon Nov 17 8:22:35 PST 2014   
susanchull	s19 Machines cans help augment health information profiles HIN support editing #PGHD promising approach @andreahartzler #amia2014	Mon Nov 17 8:22:37 PST 2014   
wareflo	@SusanCHull +1! Presenters, please add your tweet names to your published papers & posters too! So we can follow/tweet you! #AMIA2014	Mon Nov 17 8:22:45 PST 2014   
uthealth_sbmi	Hey @uubmi just ran across one of your posters. You think it's big enough. Lol #AMIA2014 http://t.co/wKAtZLFQP9	Mon Nov 17 8:23:18 PST 2014   
nickreid	RT @SusanCHull: s19 Machines cans help augment health information profiles HIN support editing #PGHD promising approach @andreahartzler #am…	Mon Nov 17 8:24:11 PST 2014   
mkopinsky	RT @SusanCHull: s19 Machines cans help augment health information profiles HIN support editing #PGHD promising approach @andreahartzler #am…	Mon Nov 17 8:24:29 PST 2014   
apelon	Is interoperability more like being set on #FHIR or being poked with a #SHARP stick? Discuss @apelon reception Tues 5:30 pm. #AMIA2014	Mon Nov 17 8:24:32 PST 2014   
susanchull	RT @apelon: Is interoperability more like being set on #FHIR or being poked with a #SHARP stick? Discuss @apelon reception Tues 5:30 pm. #A…	Mon Nov 17 8:25:09 PST 2014   
deansittig	RT @RossMartin: Conrats to @deansittig & the SAFER team for video award: http://t.co/UmMBZ0V91Q (The award:http://t.co/nLV5i9Z0JP ) #AMIA20…	Mon Nov 17 8:25:25 PST 2014   
uthealth_sbmi	SBMI PhD student Catherine Pepper with her poster #156. #AMIA2014 http://t.co/udrSfL4POL	Mon Nov 17 8:25:33 PST 2014   
motorcycle_guy	Differences between EHR and HIE data sources is fairly minimal for certain quality measures #AMIA2014 http://t.co/KqgMIq6yWB	Mon Nov 17 8:25:46 PST 2014   
greg_meyer93	@MandiBPro @RossMartin I know your begging to serenade @Fridsma with some "My Immortal" & "If I Ain't Got You". #Evanescence #AMIA2014	Mon Nov 17 8:25:56 PST 2014   
kbjvanderbilt	@AMIAinformatics #AMIA2014 Great questions about the recent IOM report. I hope these are being posted on the web site!	Mon Nov 17 8:26:06 PST 2014   
wareflo	.@drnaqi "orchestrator" is a well established business process management tool, HIT/EHR need to use it more http://t.co/QhK7lXHvMe #AMIA2014	Mon Nov 17 8:26:09 PST 2014   
wareflo	RT @drnaqi: S17: EHR is being used in four different collaboration-related roles: repository, messenger, orchestrator, monitor. -- Dian Cha…	Mon Nov 17 8:26:13 PST 2014   
togrli	RT @wareFLO: @SusanCHull +1! Presenters, please add your tweet names to your published papers & posters too! So we can follow/tweet you! #A…	Mon Nov 17 8:26:26 PST 2014   
frankfarach	Great idea! @pattifbrennan: Timestamp accuracy is a huge issue. #EHR should get timestamps from a standard atomic clock. #AMIA2014 #LB02	Mon Nov 17 8:26:56 PST 2014   
ckuziemsky	First order logic for CPGs to support co-morbid patients by @martinmich #AMIA2014 #S20 http://t.co/y4DLpmhy8s	Mon Nov 17 8:27:02 PST 2014   
tleungmd	S20: 3rd speaker discussing a new approach to #guidelines for pts with #multimorbidity. Right up my alley as a #primarycare doc #AMIA2014	Mon Nov 17 8:27:39 PST 2014   
uthealth_sbmi	Line for the photobooth, stop by and have your wacky picture taken. #AMIA2014 http://t.co/ebUBYu48b7	Mon Nov 17 8:28:21 PST 2014   
askappdev	RT @SusanCHull: s19 Machines cans help augment health information profiles HIN support editing #PGHD promising approach @andreahartzler #am…	Mon Nov 17 8:28:47 PST 2014   
lsaldanamd	RT @anordine: Interesting vision at EHR2020 panel this AM: EHR as core platform, HL7 FHIR as RESTful API for data, SMART apps on top. #AMI…	Mon Nov 17 8:28:49 PST 2014   
ckuziemsky	#S20 co-morbid care delivery is not contained within CPGs #AMIA2014	Mon Nov 17 8:29:25 PST 2014   
paulaotero	Excellent experience between Mozambique Brazil USA in training in Health Informatics #AMIA2014 http://t.co/8cCDYvLUdw	Mon Nov 17 8:29:43 PST 2014   
chrisharle	RT @SusanCHull: LB01 "EHRs are becoming dinosaurs" #consumer health personal health data is context for shared care @AMIApolicy #amia2014	Mon Nov 17 8:30:17 PST 2014   
nickreid	#S24 "pharmacists need technology to help them know which patients they should step around the counter to engage" #AMIA2014	Mon Nov 17 8:30:20 PST 2014   
knitlibrarian	RT @FrankFarach: Great idea! @pattifbrennan: Timestamp accuracy is a huge issue. #EHR should get timestamps from a standard atomic clock. #…	Mon Nov 17 8:30:41 PST 2014   
blancahimes	4b. H. Marin (for Lucila Ohno-Machado), UCSD working on starting a collaboration with Cameroon #AMIA2014	Mon Nov 17 8:31:14 PST 2014   
wareflo	.@FrankFarach @pattifbrennan EHR event log timestamps have 5 levels maturity from poor to high quality http://t.co/wGSM2ccazx p. 7 #AMIA2014	Mon Nov 17 8:31:20 PST 2014   
wareflo	RT @FrankFarach: Great idea! @pattifbrennan: Timestamp accuracy is a huge issue. #EHR should get timestamps from a standard atomic clock. #…	Mon Nov 17 8:31:28 PST 2014   
mattdapas	@HopkinsMedicine and @NUFeinbergMed represented at #AMIA2014 http://t.co/2k5LVfpOl7	Mon Nov 17 8:31:29 PST 2014   
puhfu	RT @wareFLO: .@FrankFarach @pattifbrennan EHR event log timestamps have 5 levels maturity from poor to high quality http://t.co/wGSM2ccazx …	Mon Nov 17 8:32:07 PST 2014   
uthealth_sbmi	Posters are up! Stop by the Exhibition Hall to check them out. #AMIA2014 http://t.co/51wYeYzb0j	Mon Nov 17 8:32:09 PST 2014   
ckuziemsky	#S20 @martinmich developing a broader framework for CPG support for comorbid patients #AMIA2014	Mon Nov 17 8:34:04 PST 2014   
puhfu	@TJCommission: soc/behav measure certification ≠ validation/reliability, urges collaboration with other groups prior to adoption #AMIA2014	Mon Nov 17 8:34:17 PST 2014   
trentrosenbloom	“@kimunertlphd: @peterjmurray it's odd... @trentrosenbloom seems unusually quiet ... #AMIA2014” been meeting with good people @arlenechung	Mon Nov 17 8:34:24 PST 2014   
userview	RT @RossMartin: Conrats to @deansittig & the SAFER team for video award: http://t.co/UmMBZ0V91Q (The award:http://t.co/nLV5i9Z0JP ) #AMIA20…	Mon Nov 17 8:34:55 PST 2014   
pedagogyiv	RT @williamhersh: Everyone ready for the #informaticsyearinreview on Tuesday at 8:30 am in Int Ballroom Center #AMIA2014 ? Preview at http:…	Mon Nov 17 8:35:20 PST 2014   
jessiet1023	Been looking forward to this talk by D Fort on patient self-report vs. EHR data #S19 #AMIA2014	Mon Nov 17 8:35:26 PST 2014   
wareflo	.@MDaware @FrankFarach @pattifbrennan Exactly. My 2012 discussion 5 levels #EHR event log timestamp quality http://t.co/Zdt2DuenNQ #AMIA2014	Mon Nov 17 8:35:53 PST 2014   
elinsilveous	RT @rbellazzi: Public health informatics exploits EHR for research and clinical research is using public health data @ #AMIA2014 as in the …	Mon Nov 17 8:35:58 PST 2014   
trentrosenbloom	#AMIA2014 highlights for Monday http://t.co/pMTOSP5D4u @AMIAinformatics	Mon Nov 17 8:36:07 PST 2014   
anitabaum	RT @paulaotero: Heimar Marin presenting collaboration between US, Brazil and Mozambique #amia2014 http://t.co/goEycPkSVE	Mon Nov 17 8:36:20 PST 2014   
askanter	RT @Dennis_IMO: @IMOsolutions Dr. Steve Labkoff answers an audience question at the Careers in Informatics presentation #AMIA2014 http://t.…	Mon Nov 17 8:36:31 PST 2014   
mdaware	RT @wareFLO: .@MDaware @FrankFarach @pattifbrennan Exactly. My 2012 discussion 5 levels #EHR event log timestamp quality http://t.co/Zdt2Du…	Mon Nov 17 8:36:45 PST 2014   
jessiet1023	T2DM phenotype based on Diagnoses, meds, labs #S19 #AMIA2014	Mon Nov 17 8:37:20 PST 2014   
mkopinsky	#AMIA2014 #S19 Diabetes phenotype algorithm has three sets of criteria: dx, meds, labs.	Mon Nov 17 8:37:27 PST 2014   
dpugrad01	RT @puhfu: .@pattifbrennan @DrDeidraCrews describe the core domains and measures (bottom are not routinely collected) #AMIA2014 http://t.co…	Mon Nov 17 8:38:07 PST 2014   
trentrosenbloom	Fort: "Patient reported outcomes improved eMerge phenotyping 172%" #AMIA2014 @AMIAinformatics #pgd #s19 #pghd	Mon Nov 17 8:38:44 PST 2014   
jessiet1023	DF: accuracy of self-report diabetes status- based on EHR as gold standard. but what is gold?? inverted- patient is gold.#S19 #AMIA2014	Mon Nov 17 8:38:46 PST 2014   
frankkumli	RT @granitehead: Go VA MT “@trentrosenbloom @SueWoods VA Launchpad #mHealth data entry/sharing #AMIA2014 #PGD #PGHD http://t.co/zVnqOORvgs”…	Mon Nov 17 8:39:16 PST 2014   
westr	RT @trentrosenbloom: Fort: "Patient reported outcomes improved eMerge phenotyping 172%" #AMIA2014 @AMIAinformatics #pgd #s19 #pghd	Mon Nov 17 8:39:18 PST 2014   
jessiet1023	DF T2DM study limitation- question did not explicitly specify type 2 #S19 #AMIA2014	Mon Nov 17 8:39:22 PST 2014   
mkopinsky	RT @trentrosenbloom: Fort: "Patient reported outcomes improved eMerge phenotyping 172%" #AMIA2014 @AMIAinformatics #pgd #s19 #pghd	Mon Nov 17 8:39:38 PST 2014   
davidraths	Great Presentation: Translating Diabetes Decision Support Tools Into the Safety Net. http://t.co/tjNp3PtKmR @HCInformatics #AMIA2014	Mon Nov 17 8:39:46 PST 2014   
suewoods	@pattifbrennan Soc/behavioral info is good reason to drop "H" from #PGHD. Even #patient cell #s must be liberated from data silos! #AMIA2014	Mon Nov 17 8:39:48 PST 2014   
trentrosenbloom	RT @KBJVanderbilt: @AMIAinformatics #AMIA2014 report: http://t.co/dHk6rWfsXG	Mon Nov 17 8:39:49 PST 2014   
askanter	RT @trentrosenbloom: Fort: "Patient reported outcomes improved eMerge phenotyping 172%" #AMIA2014 @AMIAinformatics #pgd #s19 #pghd	Mon Nov 17 8:40:07 PST 2014   
jjbrixey	UTHSC SBMI #AMIA2014 http://t.co/EIJUcYnS4q	Mon Nov 17 8:40:55 PST 2014   
trentrosenbloom	“@Health_Affairs: Twitter chat with @PCORI in just a few hours! Join us with #PatientHC http://t.co/DKaUcYd2Pm” interest to #AMIA2014	Mon Nov 17 8:41:53 PST 2014   
dpugrad01	@theIOM report on routine collection and use of social determinants in #EHR and #HIE is out. http://t.co/RfjXHqdJ2p #AMIA2014	Mon Nov 17 8:42:49 PST 2014   
suzanntee	Collecting social and behavioral determinants of health in the EHR is a game changer! #AMIA2014 http://t.co/0PMduRvJtw	Mon Nov 17 8:43:26 PST 2014   
jessiet1023	DF- 60% of patient-reported cases not recognized using alg #S19 #AMIA2014	Mon Nov 17 8:43:27 PST 2014   
charly_otero	@paulaotero is now answer how to teach 10x10 program in Spanish. More than 1000 students experience at #HIBA2014. #AMIA2014	Mon Nov 17 8:43:28 PST 2014   
trentrosenbloom	Fort: "30% of eMerge [patients] are not aware of diabetes status" #AMIA2014 @AMIAinformatics	Mon Nov 17 8:43:49 PST 2014   
susanchull	s19 Daniel Fort flipping the gold standard 60% of patient reported status diabetes not recognized w eMerge phenotyping algorithm #amia2014	Mon Nov 17 8:44:00 PST 2014   
jessiet1023	Df- 30% OF eMERGE *cases* are unaware they have diabetes! #S19 #AMIA2014	Mon Nov 17 8:44:01 PST 2014   
regwysocki	@DrDannySands Thank you for including students. I enjoyed working with @katefu on this project. Hope to attend AMIA next year! #AMIA2014	Mon Nov 17 8:44:08 PST 2014   
amiainformatics	Are you keeping up? Home players take a lunch break and check out #AMIA2014 tagboard. #informatics	Mon Nov 17 8:44:48 PST 2014   
mkopinsky	#AMIA2014 #S19 Using pt-reported status means that since 30% of pts are undiagnosed, .7 sensitivity is the best you can do.	Mon Nov 17 8:45:06 PST 2014   
uthealth_sbmi	SBMI Dean @jiajiezhang100 having fun in our photo booth #AMIA2014 http://t.co/SwCdMqBsbf	Mon Nov 17 8:45:08 PST 2014   
rebeccamgoodwin	RT @suzannTee: Collecting social and behavioral determinants of health in the EHR is a game changer! #AMIA2014 http://t.co/0PMduRvJtw	Mon Nov 17 8:45:19 PST 2014   
trentrosenbloom	Fort: "In a fragmented healthcare system, the patient is the only common element across sites" #AMIA2014 @AMIAinformatics	Mon Nov 17 8:45:23 PST 2014   
rebeccamgoodwin	RT @trentrosenbloom: “@Health_Affairs: Twitter chat with @PCORI in just a few hours! Join us with #PatientHC http://t.co/DKaUcYd2Pm” intere…	Mon Nov 17 8:45:28 PST 2014   
jd_pdx	RT @UTHealth_SBMI: SBMI Dean @jiajiezhang100 having fun in our photo booth #AMIA2014 http://t.co/SwCdMqBsbf	Mon Nov 17 8:46:23 PST 2014   
paulaotero	RT @KBJVanderbilt: @AMIAinformatics #AMIA2014 report: http://t.co/dHk6rWfsXG	Mon Nov 17 8:46:29 PST 2014   
susanchull	RT @trentrosenbloom: “@Health_Affairs: Twitter chat with @PCORI in just a few hours! Join us with #PatientHC http://t.co/DKaUcYd2Pm” intere…	Mon Nov 17 8:46:33 PST 2014   
embimd	RT @jessiet1023: DF- 60% of patient-reported cases not recognized using alg #S19 #AMIA2014	Mon Nov 17 8:46:36 PST 2014   
westr	RT @trentrosenbloom: Fort: "In a fragmented healthcare system, the patient is the only common element across sites" #AMIA2014 #ACR14 #DHC14	Mon Nov 17 8:46:37 PST 2014   
paulaotero	RT @anitabaum: #AMIA2014 download free medication reconciliation toolkit implementation: http://t.co/wVrtlYj9Xc	Mon Nov 17 8:46:38 PST 2014   
embimd	RT @trentrosenbloom: Fort: "30% of eMerge [patients] are not aware of diabetes status" #AMIA2014 @AMIAinformatics	Mon Nov 17 8:46:41 PST 2014   
trentrosenbloom	RT @westr: RT @trentrosenbloom: Fort: "In a fragmented healthcare system, the patient is the only common element across sites" #AMIA2014 #A…	Mon Nov 17 8:46:47 PST 2014   
titusschleyer	Hope to see you at the "Meet the Experts" session at 1230 pm in Lincoln East/Monroe. #AMIA2014.	Mon Nov 17 8:46:49 PST 2014   
susanchull	RT @westr: RT @trentrosenbloom: Fort: "In a fragmented healthcare system, the patient is the only common element across sites" #AMIA2014 #A…	Mon Nov 17 8:46:57 PST 2014   
trentrosenbloom	RT @jessiet1023: DF- 60% of patient-reported cases not recognized using alg #S19 #AMIA2014	Mon Nov 17 8:46:59 PST 2014   
rebeccamgoodwin	RT @jd_pdx: "Stories transcend all language, age ... and educational barriers." building child motor skills with e-books #S22 #AMIA2014 #pe…	Mon Nov 17 8:47:14 PST 2014   
trentrosenbloom	RT @jessiet1023: Df- 30% OF eMERGE *cases* are unaware they have diabetes! #S19 #AMIA2014	Mon Nov 17 8:47:15 PST 2014   
erv_uth	RT @UTHealth_SBMI: Posters are up! Stop by the Exhibition Hall to check them out. #AMIA2014 http://t.co/51wYeYzb0j	Mon Nov 17 8:47:21 PST 2014   
regwysocki	My graduate program- @UTHealth_SBMI is awesome! RT @jjbrixey: UTHSC SBMI #AMIA2014 http://t.co/d97DGjnjBj	Mon Nov 17 8:47:28 PST 2014   
trentrosenbloom	RT @pattifbrennan: I love Neil Sarkar's definition: Personalized medicine = personal data + clinical interpretation!! #AMIA2014	Mon Nov 17 8:47:29 PST 2014   
rebeccamgoodwin	RT @RossMartin: Conrats to @deansittig & the SAFER team for video award: http://t.co/UmMBZ0V91Q (The award:http://t.co/nLV5i9Z0JP ) #AMIA20…	Mon Nov 17 8:47:30 PST 2014   
dawnmariaaz	RT @regwysocki: My graduate program- @UTHealth_SBMI is awesome! RT @jjbrixey: UTHSC SBMI #AMIA2014 http://t.co/d97DGjnjBj	Mon Nov 17 8:47:59 PST 2014   
rebeccamgoodwin	RT @puhfu: .@pattifbrennan @DrDeidraCrews George Hripscak presenting @theIOM report on capturing #social and #behavioral #domains in #ehr #…	Mon Nov 17 8:48:16 PST 2014   
susanchull	RT @pattifbrennan: I love Neil Sarkar's definition: Personalized medicine = personal data + clinical interpretation!! #AMIA2014	Mon Nov 17 8:48:17 PST 2014   
techguy	RT @westr: RT @trentrosenbloom: Fort: "In a fragmented healthcare system, the patient is the only common element across sites" #AMIA2014 #A…	Mon Nov 17 8:48:21 PST 2014   
rebeccamgoodwin	RT @wareFLO: Starting: Electronic Patient Safety Checklist 4 Healthcare Teams & Patients http://t.co/R7E94p7Zp0 #AMIA2014 #AMIAworkflow cla…	Mon Nov 17 8:48:51 PST 2014   
susanchull	RT @wareFLO: Starting: Electronic Patient Safety Checklist 4 Healthcare Teams & Patients http://t.co/R7E94p7Zp0 #AMIA2014 #AMIAworkflow cla…	Mon Nov 17 8:49:12 PST 2014   
rebeccamgoodwin	RT @rfrsarmiento: Looking forward to presenting my poster for Clinical Research Informatics session later today at #AMIA2014	Mon Nov 17 8:49:12 PST 2014   
wareflo	.@drnaqi +1! Checkout my 5-part healthcare workflow tech series http://t.co/rDr0zdFekN 42-min Youtube video http://t.co/8ht4UsroWK #AMIA2014	Mon Nov 17 8:49:45 PST 2014   
kathysward	RT @pattifbrennan: I love Neil Sarkar's definition: Personalized medicine = personal data + clinical interpretation!! #AMIA2014	Mon Nov 17 8:50:00 PST 2014   
wareflo	RT @trentrosenbloom: Fort: "In a fragmented healthcare system, the patient is the only common element across sites" #AMIA2014 @AMIAinformat…	Mon Nov 17 8:50:20 PST 2014   
subhamadhavan	RT @trentrosenbloom: Fort: "In a fragmented healthcare system, the patient is the only common element across sites" #AMIA2014 @AMIAinformat…	Mon Nov 17 8:50:55 PST 2014   
jessiet1023	DF answers question re diff algs optimizing for sens, spec etc. with shout out to @rrichesson paper http://t.co/gK07RC5lBB #AMIA2014	Mon Nov 17 8:51:04 PST 2014   
nickreid	"oh I should tell you how I get paid" #s24 the usually not mentioned part of healthcare #AMIA2014	Mon Nov 17 8:51:35 PST 2014   
trentrosenbloom	RT @wtierney51: All persons in clinical encounters incl pts should doc what they do. MDs should assimilate data into likely diagnoses & pla…	Mon Nov 17 8:52:01 PST 2014   
linguamatics	All set up and ready to go! #AMIA2014 http://t.co/cBLWnjALIh	Mon Nov 17 8:52:31 PST 2014   
elinsilveous	RT @westr: RT @trentrosenbloom: Fort: "In a fragmented healthcare system, the patient is the only common element across sites" #AMIA2014 #A…	Mon Nov 17 8:52:32 PST 2014   
jimbonnettemd	RT @wareFLO: .@drnaqi +1! Checkout my 5-part healthcare workflow tech series http://t.co/rDr0zdFekN 42-min Youtube video http://t.co/8ht4Us…	Mon Nov 17 8:52:32 PST 2014   
sgjead	RT @westr: RT @trentrosenbloom: Fort: "In a fragmented healthcare system, the patient is the only common element across sites" #AMIA2014 #A…	Mon Nov 17 8:53:08 PST 2014   
trentrosenbloom	Yesterday's #AMIA2014 fun run with @DrDannySands @AMIAinformatics http://t.co/SmYIIjhGC9	Mon Nov 17 8:53:56 PST 2014   
jd_pdx	@jd_pdx: Mobile app to teach kids about safety around bikes and dogs. So. Incredibly. Cool. #iBSafe #S22 #AMIA2014 #pedsinformatics	Mon Nov 17 8:55:20 PST 2014   
knitlibrarian	RT @jd_pdx: "Stories transcend all language, age ... and educational barriers." building child motor skills with e-books #S22 #AMIA2014 #pe…	Mon Nov 17 8:55:27 PST 2014   
puhfu	RT @wareFLO: .@drnaqi +1! Checkout my 5-part healthcare workflow tech series http://t.co/rDr0zdFekN 42-min Youtube video http://t.co/8ht4Us…	Mon Nov 17 8:55:45 PST 2014   
puhfu	RT @trentrosenbloom: Fort: "In a fragmented healthcare system, the patient is the only common element across sites" #AMIA2014 @AMIAinformat…	Mon Nov 17 8:55:56 PST 2014   
lesamitchell	RT @keilenberg: Need teleporter. In DC at #AMIA2014, tracking #P4C2014 in NYC w @edyson @CraigLipset @wilbanks @lesamitchell	Mon Nov 17 8:56:02 PST 2014   
vtiase	RT @SusanCHull: s19 @AndreaHartzler #PGHD through #hcsm online health communities cancer http://t.co/gNEv8Emoj6 profiling peers support @vt…	Mon Nov 17 8:57:10 PST 2014   
puhfu	.@pattifbrennan takes a question from @SueWoods via twitter - yay! #AMIA2014 (need more of this)	Mon Nov 17 8:58:58 PST 2014   
uthealth_sbmi	RT @regwysocki: My graduate program- @UTHealth_SBMI is awesome! RT @jjbrixey: UTHSC SBMI #AMIA2014 http://t.co/d97DGjnjBj	Mon Nov 17 8:59:27 PST 2014   
davidraths	AMIA panel describes IOM’s 12 social, behavioral measure recommendations for ONC for Stage 3 of meaningful use. #AMIA2014	Mon Nov 17 9:00:07 PST 2014   
likesky3	RT @trentrosenbloom: Fort: "Patient reported outcomes improved eMerge phenotyping 172%" #AMIA2014 @AMIAinformatics #pgd #s19 #pghd	Mon Nov 17 9:00:23 PST 2014   
wareflo	RT @puhfu: .@pattifbrennan takes a question from @SueWoods via twitter - yay! #AMIA2014 (need more of this)	Mon Nov 17 9:01:41 PST 2014   
pattiabbott	RT @DavidRaths: AMIA panel describes IOM’s 12 social, behavioral measure recommendations for ONC for Stage 3 of meaningful use. #AMIA2014	Mon Nov 17 9:03:08 PST 2014   
pattiabbott	RT @jd_pdx: @jd_pdx: Mobile app to teach kids about safety around bikes and dogs. So. Incredibly. Cool. #iBSafe #S22 #AMIA2014 #pedsinforma…	Mon Nov 17 9:03:49 PST 2014   
dcihmfp	@csafran featured in @AMIAinformatics #AMIA2014 daily newsletter highlighting his acceptance of Morris Collen Award! http://t.co/dzd6iTF6k6	Mon Nov 17 9:04:17 PST 2014   
davidraths	AMIA’s EHR 2020 Task Force early recommendation to ONC for Stage 3 MU: ‘Stop where you are. Give providers time to stabilize.’ #AMIA2014	Mon Nov 17 9:04:38 PST 2014   
tiffany__kelley	Quote from mid-morning session at #AMIA2014 “If at first the idea is not absurd, then there is no hope for it.” ~ Albert Enstein	Mon Nov 17 9:04:50 PST 2014   
dcihmfp	RT @trentrosenbloom: Yesterday's #AMIA2014 fun run with @DrDannySands @AMIAinformatics http://t.co/SmYIIjhGC9	Mon Nov 17 9:04:57 PST 2014   
dcihmfp	RT @trentrosenbloom: Fort: "In a fragmented healthcare system, the patient is the only common element across sites" #AMIA2014 @AMIAinformat…	Mon Nov 17 9:05:27 PST 2014   
perituza	Using real-world evidence & social media monitoring in #healthcare decision making? See @IMSHealth at #AMIA2014, booth #231	Mon Nov 17 9:05:40 PST 2014   
wareflo	RT @DavidRaths: AMIA’s EHR 2020 Task Force early recommendation to ONC for Stage 3 MU: ‘Stop where you are. Give providers time to stabiliz…	Mon Nov 17 9:06:05 PST 2014   
franciegrace	RT @westr: RT @trentrosenbloom: Fort: "In a fragmented healthcare system, the patient is the only common element across sites" #AMIA2014 #A…	Mon Nov 17 9:06:12 PST 2014   
motorcycle_guy	Automating consent workflows by verifying treatment relationships, an #AMIA2014 poster http://t.co/18jds6UfBY	Mon Nov 17 9:06:21 PST 2014   
dcihmfp	Check out DCI's poster on INFOSAGE project -- coordinating elderly care! #AMIA2014 @AMIAinformatics	Mon Nov 17 9:06:47 PST 2014   
uthealth_sbmi	SBMI prof. J. Brixey & J. Langabeer w/ SBMI alumna Tiffany Champagne. #AMIA2014 http://t.co/Zm2SWMtC3K	Mon Nov 17 9:07:07 PST 2014   
wareflo	RT @motorcycle_guy: Automating consent workflows by verifying treatment relationships, an #AMIA2014 poster http://t.co/18jds6UfBY	Mon Nov 17 9:07:25 PST 2014   
davidraths	RT @puhfu: .@pattifbrennan @DrDeidraCrews describe the core domains and measures (bottom are not routinely collected) #AMIA2014 http://t.co…	Mon Nov 17 9:07:55 PST 2014   
dcihmfp	Join the 5pm session with @bradcrotty & others on Elders & Families Rely On Social Networks For Aging-Related Information #AMIA2014	Mon Nov 17 9:08:06 PST 2014   
joannasapida	RT @motorcycle_guy: Automating consent workflows by verifying treatment relationships, an #AMIA2014 poster http://t.co/18jds6UfBY	Mon Nov 17 9:08:22 PST 2014   
lpnewmark	.@UTHealth_SBMI @uubmi Thanks for posting! #AMIA2014 presenters--tweet a pic of your poster for those of us who wish we were there! :)	Mon Nov 17 9:09:01 PST 2014   
rcbmi	RT @titusschleyer: Hope to see you at the "Meet the Experts" session at 1230 pm in Lincoln East/Monroe. #AMIA2014.	Mon Nov 17 9:09:18 PST 2014   
dcihmfp	Great job by DCI Faculty @DrDannySands with Year In Review session 1 this morning #AMIA2014 @AMIAinformatics @AMIApolicy	Mon Nov 17 9:09:29 PST 2014   
wareflo	1:45PM Effect of Obesity on Pre-Incision Time & Operating Room Workflow (very interesting) http://t.co/lLHjuDqnH0 #AMIA2014 #AMIAworkflow	Mon Nov 17 9:10:08 PST 2014   
elinsilveous	Folks at #AHA14 #ACR14 #AMIA2014 --> MT @PCORI Join #PCORI & @Health_Affairs 2pmET for Q&A on #PatientEngagement in research. Use #PatientHC	Mon Nov 17 9:10:56 PST 2014   
vtiase	RT @trentrosenbloom: Fort: "In a fragmented healthcare system, the patient is the only common element across sites" #AMIA2014 @AMIAinformat…	Mon Nov 17 9:12:17 PST 2014   
linguamatics	Underway at the corporate roundtable #AMIA2014 http://t.co/8W6XE0ZOzu	Mon Nov 17 9:12:33 PST 2014   
uthealth_sbmi	SBMI PhD student Mehdi Rais having fun with hair at our photobooth. #AMIA2014 http://t.co/Nf4WzlxGbO	Mon Nov 17 9:13:55 PST 2014   
cgrouin	Automatic Content Extraction for Designing a French Clinical Corpus. #AMIA2014 poster, today! http://t.co/DFh8hvsxIE	Mon Nov 17 9:14:14 PST 2014   
jeffbrandt	RT @motorcycle_guy: Automating consent workflows by verifying treatment relationships, an #AMIA2014 poster http://t.co/AbI1F98cEL	Mon Nov 17 9:14:42 PST 2014   
thatalexcheng	Good to meet some former VA colleagues at #AMIA2014	Mon Nov 17 9:15:49 PST 2014   
ihi_umn	Don't forget to stop by our table in the exhibit hall! #AMIA2014 #informatics	Mon Nov 17 9:15:52 PST 2014   
uthealth_sbmi	We're posting all our pics & things to do in #DC while at #AMIA2014 on our Pinboard. http://t.co/w97QTAHWfQ	Mon Nov 17 9:16:31 PST 2014   
jamiepina	Sorry to miss you @askanter @dpugrad01 and I will do an encore for you! #AMIA2014	Mon Nov 17 9:17:01 PST 2014   
pjmachado	RT @westr: RT @trentrosenbloom: Fort: "In a fragmented healthcare system, the patient is the only common element across sites" #AMIA2014 #A…	Mon Nov 17 9:17:10 PST 2014   
sarahknapfel	RT @DrDannySands: Thanks to #AMIA2014 Informatics Year-in-Review student volunteers, esp leads @katefu, @SarahKnapfel, Shefali Gupta	Mon Nov 17 9:17:36 PST 2014   
hemoncwarner	Policy wonks, come on down to the ONC and CMS policy update! #AMIA2014 #policy	Mon Nov 17 9:17:45 PST 2014   
pattiabbott	RT @Tiffany__Kelley: Quote from mid-morning session at #AMIA2014 “If at first the idea is not absurd, then there is no hope for it.” ~ Albe…	Mon Nov 17 9:17:59 PST 2014   
uthealth_sbmi	RT @lpnewmark: .@UTHealth_SBMI @uubmi Thanks for posting! #AMIA2014 presenters--tweet a pic of your poster for those of us who wish we wer…	Mon Nov 17 9:17:59 PST 2014   
greg_meyer93	@RossMartin @MandiBPro Is @2healthguru in the house? Live stream #AMIA2014 jam session.	Mon Nov 17 9:18:06 PST 2014   
pattiabbott	RT @dcihmfp: @csafran featured in @AMIAinformatics #AMIA2014 daily newsletter highlighting his acceptance of Morris Collen Award! http://t.…	Mon Nov 17 9:18:13 PST 2014   
imshealth	RT @Perituza: Using real-world evidence & social media monitoring in #healthcare decision making? See @IMSHealth at #AMIA2014, booth #231	Mon Nov 17 9:18:46 PST 2014   
buscandoagodot	El @informaticaHIBA presente en #AMIA2014 http://t.co/KLUlhEwfKX	Mon Nov 17 9:19:43 PST 2014   
